link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2898,,,62,C:\ML-For-Beginners-main\2-Regression\translations\README.ko,C:\ML-For-Beginners-main\2-Regression\translations,473,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.pt-br.md"">NA README.pt-br</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2912,,,65,C:\ML-For-Beginners-main\2-Regression\translations\README.pt-br,C:\ML-For-Beginners-main\2-Regression\translations,474,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.pt.md"">NA README.pt</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,3050,,,62,C:\ML-For-Beginners-main\2-Regression\translations\README.pt,C:\ML-For-Beginners-main\2-Regression\translations,475,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.ru.md"">NA README.ru</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,4692,,,62,C:\ML-For-Beginners-main\2-Regression\translations\README.ru,C:\ML-For-Beginners-main\2-Regression\translations,476,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ru,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.tr.md"">NA README.tr</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2947,,,62,C:\ML-For-Beginners-main\2-Regression\translations\README.tr,C:\ML-For-Beginners-main\2-Regression\translations,477,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.tr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.zh-cn.md"">NA README.zh-cn</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2485,,,65,C:\ML-For-Beginners-main\2-Regression\translations\README.zh-cn,C:\ML-For-Beginners-main\2-Regression\translations,478,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/2-Regression/translations/README.zh-tw.md"">NA README.zh-tw</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2489,,,65,C:\ML-For-Beginners-main\2-Regression\translations\README.zh-tw,C:\ML-For-Beginners-main\2-Regression\translations,479,49,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/README.md"">NA README</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1400,,,43,C:\ML-For-Beginners-main\3-Web-App\README,C:\ML-For-Beginners-main\3-Web-App,480,50,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,901,,,57,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\assignment,C:\ML-For-Beginners-main\3-Web-App\1-Web-App,481,51,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/notebook.ipynb"">NA notebook</a>",ECNCR/Kedidaz,ipynb,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,0,,,58,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\notebook,C:\ML-For-Beginners-main\3-Web-App\1-Web-App,482,51,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",ipynb,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,notebook,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,14758,,,53,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\README,C:\ML-For-Beginners-main\3-Web-App\1-Web-App,483,51,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/data/ufos.csv""><i class=""fa fa-file-csv"" role=""presentation"" aria-label=""file-csv icon""></i> ufos</a>",ECNCR/Kedidaz,csv,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,13929491,,,57,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\data\ufos,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\data,484,52,1,#c8e6c9,"<i class=""fa fa-file-csv"" role=""presentation"" aria-label=""file-csv icon""></i>",csv,csv,#c8e6c9,"<i class=""fa fa-file-csv"" role=""presentation"" aria-label=""file-csv icon""></i>",csv,ufos,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/images/lobe.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> lobe</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,416548,,,59,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\images\lobe,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\images,485,53,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,lobe,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/notebook.ipynb"">NA notebook</a>",ECNCR/Kedidaz,ipynb,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,11925,,,67,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\notebook,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution,486,54,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",ipynb,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,notebook,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/ufo-model.pkl"">NA ufo-model</a>",ECNCR/Kedidaz,pkl,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,988,,,66,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\ufo-model,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution,487,54,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",pkl,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,ufo-model,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/web-app/app.py""><i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i> app</a>",ECNCR/Kedidaz,py,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,738,,,67,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\app,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app,488,55,1,#c8e6c9,"<i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i>",py,code,#c8e6c9,"<i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i>",code,app,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/web-app/requirements.txt""><i class=""fa fa-file-text"" role=""presentation"" aria-label=""file-text icon""></i> requirements</a>",ECNCR/Kedidaz,txt,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,31,,,77,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\requirements,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app,489,55,1,#c8e6c9,"<i class=""fa fa-file-text"" role=""presentation"" aria-label=""file-text icon""></i>",txt,text,#c8e6c9,"<i class=""fa fa-file-text"" role=""presentation"" aria-label=""file-text icon""></i>",text,requirements,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/web-app/static/css/styles.css""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> styles</a>",ECNCR/Kedidaz,css,7,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,394,,,82,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\static\css\styles,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\static\css,490,57,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",css,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,styles,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/solution/web-app/templates/index.html""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> index</a>",ECNCR/Kedidaz,html,6,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,909,,,81,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\templates\index,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\solution\web-app\templates,491,58,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",html,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,index,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1010,,,73,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.es,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,492,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,852,,,73,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.it,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,493,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.ja.md"">NA assignment.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1106,,,73,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.ja,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,494,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,945,,,73,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.ko,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,495,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.pt-br.md"">NA assignment.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1025,,,76,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.pt-br,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,496,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.pt.md"">NA assignment.pt</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,987,,,73,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.pt,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,497,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.pt,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.zh-cn.md"">NA assignment.zh-cn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,749,,,76,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.zh-cn,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,498,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/assignment.zh-tw.md"">NA assignment.zh-tw</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,936,,,76,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\assignment.zh-tw,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,499,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,16528,,,69,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.es,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,500,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,15896,,,69,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.it,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,501,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.ja.md"">NA README.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,18583,,,69,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.ja,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,502,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,15955,,,69,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.ko,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,503,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.pt-br.md"">NA README.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,16319,,,72,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.pt-br,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,504,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.pt.md"">NA README.pt</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,15824,,,69,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.pt,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,505,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.zh-cn.md"">NA README.zh-cn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,14402,,,72,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.zh-cn,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,506,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/1-Web-App/translations/README.zh-tw.md"">NA README.zh-tw</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,14749,,,72,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations\README.zh-tw,C:\ML-For-Beginners-main\3-Web-App\1-Web-App\translations,507,59,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/images/ufo.jpg""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ufo</a>",ECNCR/Kedidaz,jpg,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,809136,,,48,C:\ML-For-Beginners-main\3-Web-App\images\ufo,C:\ML-For-Beginners-main\3-Web-App\images,508,60,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",jpg,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ufo,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1637,,,59,C:\ML-For-Beginners-main\3-Web-App\translations\README.es,C:\ML-For-Beginners-main\3-Web-App\translations,509,61,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/translations/README.hi.md"">NA README.hi</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2782,,,59,C:\ML-For-Beginners-main\3-Web-App\translations\README.hi,C:\ML-For-Beginners-main\3-Web-App\translations,510,61,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.hi,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1558,,,59,C:\ML-For-Beginners-main\3-Web-App\translations\README.it,C:\ML-For-Beginners-main\3-Web-App\translations,511,61,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/3-Web-App/translations/README.ja.md"">NA README.ja</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1687,,,59,C:\ML-For-Beginners-main\3-Web-App\translations\README.ja,C:\ML-For-Beginners-main\3-Web-App\translations,512,61,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
